Words,Pinyin,En.translation,Word_Length,CLDC_wfpm,CLDC_logfpm,CLDC_zipf,SUBTLEX_freq,AoA_in_years,PhonologicalN,C1_stroke,C2_stroke,C3_stroke,C1_pinyin,C2_pinyin,C3_pinyin,C1_PN,C2_PN,C3_PN,C1_characterfrequency,C2_characterfrequency,C3_characterfrequency,C1_syllablefrequency,C2_syllablefrequency,C3_syllablefrequency,C1_AoA,C2_AoA,C3_AoA
电脑,dian4o3,computer,2,78.63774163,1.901118936,4.895599368,3.081,10.56521739,0,5,10,NA,dian4,o3,NA,8,22,NA,2172.846352,311.4359781,NA,2533.81531,357.0422964,NA,7,7.5,NA
电钻,dian4zuan4,electric drill,2,0.161978314,0.0652,2.211853213,1.3424,NA,0,5,10,NA,dian4,zuan1,NA,8,11,NA,2172.846352,52.24740129,NA,2533.81531,6.471557701,NA,7,8,NA
鳄鱼,e4yu2,alligator,2,2.019268986,0.479901806,3.305353157,2.0969,10.55,3,17,8,NA,e4,yu2,NA,7,8,NA,4.290602392,156.4488983,NA,241.6306084,4175.387138,NA,9,6.5,NA
耳朵,er3duo5,ear,2,13.12206344,1.149898158,4.117995559,2.9004,6.052631579,0,6,6,NA,er3,duo3,NA,6,13,NA,159.6806409,43.20202033,NA,418.9337987,62.50838565,NA,6.5,7,NA
耳机,er3ji1,earphone,2,1.727162026,0.435710941,3.237525147,2.1072,10.05555556,1,6,6,NA,er3,ji1,NA,6,14,NA,159.6806409,2181.919987,NA,418.9337987,4380.783078,NA,6.5,7,NA
二胡,er4hu2,urheen,2,1.112918418,0.324882729,3.0467816,NA,8.684210526,NA,2,9,NA,er4,hu2,NA,NA,NA,NA,1120.07864,164.7778335,NA,1123.505471,508.6388719,NA,6.5,7.5,NA
飞机,fei1ji1,plane,2,75.91050001,1.885985635,4.880270368,3.2084,8.95,1,3,6,NA,fei1,ji1,NA,8,14,NA,403.1544996,2181.919987,NA,1112.873818,4380.783078,NA,6.5,7,NA
斧子,fu3zi5,axe,2,0.809891572,0.257652558,2.908877886,1.8451,NA,5,8,3,NA,fu3,zi,NA,22,6,NA,9.643428237,3310.14391,NA,547.0928409,825.9382697,NA,8.5,6.5,NA
钢琴,gang1qin2,pinao,2,11.12190426,1.083570849,4.046177994,2.4969,12,0,9,12,NA,gang1,qin2,NA,24,11,NA,139.8233186,74.83259949,NA,491.6607874,264.2696241,NA,7.5,7.5,NA
柜子,gui4zi5,cabinet,2,1.66528267,0.425743275,3.221688527,2.3856,7.125,5,8,3,NA,gui4,zi,NA,13,6,NA,21.07898014,3310.14391,NA,335.9922432,825.9382697,NA,10.5,6.5,NA
火车,huo3che1,train,2,24.2048381,1.401483912,4.383881819,2.8041,7.647058824,1,4,4,NA,huo3,che1,NA,12,12,NA,502.9416139,1045.048261,NA,6.445321656,1045.020679,NA,6.5,6.5,NA
吉他,ji2ta1,guitar,2,1.90552017,0.463223895,3.28018421,2.4698,10.95,1,6,5,NA,ji2,ta1,NA,15,22,NA,51.50068309,4185.047385,NA,4905.808714,5834.917876,NA,10,6.5,NA
剪刀,jian3dao1,scissors,2,2.550703455,0.550314403,3.406778192,2.2227,6.333333333,3,11,2,NA,jian3,dao1,NA,5,23,NA,37.01636824,98.29704155,NA,914.1969969,102.0117964,NA,8,6.5,NA
键盘,jian4pan2,keyboard,2,4.420733994,0.734058096,3.645547081,1.9685,11.4,1,13,11,NA,jian4,pan2,NA,5,19,NA,106.1988,162.829639,NA,4819.03266,165.9510556,NA,9.5,8.5,NA
饺子,jiao3zi5,dumpling,2,3.28051586,0.631496111,3.516025905,1.5911,5.52380952,4,9,3,NA,jiao3,zi,NA,15,6,NA,3.333323119,3310.14391,NA,564.1684697,825.9382697,NA,8,6.5,NA
卡车,ka3che1,truck,2,5.337094458,0.801890181,3.727342241,2.8802,9.84210526,2,5,4,NA,ka3,che1,NA,18,12,NA,251.390417,1045.048261,NA,252.0981175,1045.020679,NA,NA,6.5,NA
口琴,kou3qin2,harmonica,2,0.473195076,0.168260258,2.675837906,1.4914,NA,1,3,12,NA,kou3,qin2,NA,16,11,NA,1067.071066,74.83259949,NA,1064.662059,264.2696241,NA,6.5,7.5,NA
裤子,ku4zi5,pants,2,4.913948861,0.771877565,3.69147436,3.0212,5.631578947,6,12,3,NA,ku4,zi,NA,22,6,NA,13.65552492,3310.14391,NA,226.8435699,825.9382697,NA,7.5,6.5,NA
轮船,lun2chuan2,steamboat,2,6.85222869,0.89499294,3.83585283,1.5798,8.3,0,8,11,NA,lun2,chuan2,NA,7,9,NA,222.7137474,227.8950299,NA,333.7345979,1065.040127,NA,7.5,6.5,NA
馒头,man2tou5,steamed bread,2,3.310545548,0.634532238,3.519982238,0.9542,5.9,0,14,5,NA,man2,tou2,NA,21,9,NA,2.483006182,1185.230139,NA,44.87641816,1183.902864,NA,NA,6.5,NA
米饭,mi3fan4,rice,2,2.19762713,0.50482782,3.342097112,1.9085,5,0,6,7,NA,mi3,fan4,NA,16,24,NA,411.9038841,184.5645202,NA,416.5907181,826.3338285,NA,7,7,NA
蜜蜂,mi4feng1,bee,2,2.994778834,0.60149274,3.476460009,2.1987,6.10526316,4,14,13,NA,mi4,feng1,NA,17,21,NA,27.90573353,29.14690026,NA,517.758252,1409.316233,NA,7.5,7.5,NA
面条,mian4tiao2,noddles,2,2.711771779,0.569581265,3.433362158,2.2304,6.411764706,3,9,7,NA,mian4,tiao2,NA,9,10,NA,2708.161227,815.5979044,NA,2707.963448,1033.47682,NA,7,6.5,NA
摩托,mo2tuo1,motorbike,2,16.52178806,1.243578423,4.218044276,2.1523,11.47368421,0,15,6,NA,mo2,tuo1,NA,16,17,NA,56.40749617,253.6144264,NA,166.0748359,508.3617117,NA,7.5,7.5,NA
瓢虫,piao2chong2,ladybug,2,0.22385767,0.0877,2.351697136,1.1761,9.782608696,0,16,6,NA,piao2,chong2,NA,10,11,NA,2.579205013,95.41847653,NA,4.585926075,320.0925274,NA,7,6.5,NA
茄子,qie2zi5,eggplant,2,1.280356676,0.358002781,3.107602837,1.9956,7.708333333,4,8,3,NA,jia1,zi,NA,9,6,NA,5.629313393,3310.14391,NA,5856.617775,825.9382697,NA,8,6.5,NA
芹菜,qin2cai4,celery,2,1.377725662,0.376161745,3.139412815,1.3617,8.6875,0,7,11,NA,qin2,cai4,NA,11,21,NA,2.056502276,186.7824751,NA,264.2696241,188.351256,NA,9.5,8,NA
青椒,qing1jiao1,green pepper,2,0.657923153,0.219564397,2.818738749,0.9031,NA,4,8,12,NA,qing1,jiao1,NA,11,14,NA,899.2128517,8.469533415,NA,6299.095397,2072.178649,NA,6.5,9.5,NA
蜻蜓,qing1ting2,dragonfly,2,1.06468892,0.314854627,3.027557077,1.2041,8.115384615,5,14,12,NA,qing1,ting2,NA,11,11,NA,0.885971049,0.916243408,NA,6299.095397,2533.81531,NA,7,7,NA
扫帚,sao4zhou5,broom,2,1.341326041,0.369461896,3.127792203,1.8261,7.565217391,0,6,8,NA,sao3,zhou3,NA,22,9,NA,77.13868055,1.40598291,NA,94.29503564,3.954915564,NA,7.5,8,NA
沙发,sha1fa1,sofa,2,11.06821481,1.081643032,4.044076594,2.781,9.454545455,2,7,5,NA,sha1,fa1,NA,23,21,NA,247.6272264,4229.053977,NA,557.9175639,4151.803625,NA,7.5,6.5,NA
柿子,shi4zi5,perisimmon,2,1.082888731,0.31866607,3.034911944,1.3222,9.875,2,9,3,NA,shi4,zi,NA,13,6,NA,2.727875933,3310.14391,NA,18835.466,825.9382697,NA,8,6.5,NA
